5-fold-cv-standalone-test
/data3/shcho/bci_ai/datasets/acrobat/features/resnet50_finetune2/train/acrobat.csv /data3/shcho/bci_ai/datasets/acrobat/features/resnet50_finetune2/train/1/213_HER2_train.csv
Intermediate training files already exist : temp_train_resnet50_finetune2. Skipping creation.
Creating intermediate testing files : temp_test_resnet50_finetune2
Starting CV fold 0.

 Training bag [221/381] bag loss: 4.7049
 Training bag [231/381] bag loss: 4.7129
 Training bag [241/381] bag loss: 4.7020
 Training bag [251/381] bag loss: 4.7125
 Training bag [261/381] bag loss: 4.7095
 Training bag [271/381] bag loss: 4.7075
 Training bag [281/381] bag loss: 4.7091
 Training bag [291/381] bag loss: 4.7045
 Training bag [301/381] bag loss: 4.7292
 Training bag [311/381] bag loss: 4.7214
 Training bag [321/381] bag loss: 4.7075
 Training bag [331/381] bag loss: 4.7046
 Training bag [341/381] bag loss: 4.7035
 Training bag [351/381] bag loss: 4.7008
 Training bag [361/381] bag loss: 4.7023
 Training bag [371/381] bag loss: 4.7037
 Training bag [381/381] bag loss: 4.7267
 Testing bag [1/96] bag loss: 1.4063
 Testing bag [2/96] bag loss: 0.9120
 Testing bag [3/96] bag loss: 1.1491
 Testing bag [4/96] bag loss: 1.3108
 Testing bag [5/96] bag loss: 0.8795
 Testing bag [6/96] bag loss: 1.0440
 Testing bag [7/96] bag loss: 1.4042
 Testing bag [8/96] bag loss: 1.6330
 Testing bag [9/96] bag loss: 1.3654
 Testing bag [10/96] bag loss: 1.2963
 Testing bag [11/96] bag loss: 1.3952
 Testing bag [12/96] bag loss: 4.8866
 Testing bag [13/96] bag loss: 1.4046
 Testing bag [14/96] bag loss: 1.2684
 Testing bag [15/96] bag loss: 0.8623
 Testing bag [16/96] bag loss: 1.2572
 Testing bag [17/96] bag loss: 1.8136
 Testing bag [18/96] bag loss: 1.2695
 Testing bag [19/96] bag loss: 1.4094
 Testing bag [20/96] bag loss: 3.2074
 Testing bag [21/96] bag loss: 1.4772
 Testing bag [22/96] bag loss: 1.2079
 Testing bag [23/96] bag loss: 1.2965
 Testing bag [24/96] bag loss: 1.2489
 Testing bag [25/96] bag loss: 1.0138
 Testing bag [26/96] bag loss: 1.2842
 Testing bag [27/96] bag loss: 1.2217
 Testing bag [28/96] bag loss: 1.4613
 Testing bag [29/96] bag loss: 1.5781
 Testing bag [30/96] bag loss: 1.1989
 Testing bag [31/96] bag loss: 1.1047
 Testing bag [32/96] bag loss: 1.2423
 Testing bag [33/96] bag loss: 0.7856
 Testing bag [34/96] bag loss: 1.2219
 Testing bag [35/96] bag loss: 0.8730
 Testing bag [36/96] bag loss: 1.9161
 Testing bag [37/96] bag loss: 1.2099
 Testing bag [38/96] bag loss: 1.1478
 Testing bag [39/96] bag loss: 1.4791
 Testing bag [40/96] bag loss: 1.8281
 Testing bag [41/96] bag loss: 1.1940
 Testing bag [42/96] bag loss: 1.2739
 Testing bag [43/96] bag loss: 1.5714
 Testing bag [44/96] bag loss: 1.0527
 Testing bag [45/96] bag loss: 1.1036
 Testing bag [46/96] bag loss: 1.2936
 Testing bag [47/96] bag loss: 5.3954
 Testing bag [48/96] bag loss: 0.7773
 Testing bag [49/96] bag loss: 1.3856
 Testing bag [50/96] bag loss: 1.0952
 Testing bag [51/96] bag loss: 1.5557
 Testing bag [52/96] bag loss: 1.3135
 Testing bag [53/96] bag loss: 1.2793
 Testing bag [54/96] bag loss: 2.9301
 Testing bag [55/96] bag loss: 0.8646
 Testing bag [56/96] bag loss: 1.5357
 Testing bag [57/96] bag loss: 3.9938
 Testing bag [58/96] bag loss: 1.2072
 Testing bag [59/96] bag loss: 1.1715
 Testing bag [60/96] bag loss: 0.9627
 Testing bag [61/96] bag loss: 1.2709
 Testing bag [62/96] bag loss: 2.1569
 Testing bag [63/96] bag loss: 1.3318
 Testing bag [64/96] bag loss: 1.3338
 Testing bag [65/96] bag loss: 1.6086
 Testing bag [66/96] bag loss: 1.4072
 Testing bag [67/96] bag loss: 1.4698
 Testing bag [68/96] bag loss: 3.2693
 Testing bag [69/96] bag loss: 1.2324
 Testing bag [70/96] bag loss: 1.7905
 Testing bag [71/96] bag loss: 1.1819
 Testing bag [72/96] bag loss: 1.1874
 Testing bag [73/96] bag loss: 4.2961
 Testing bag [74/96] bag loss: 0.9849
 Testing bag [75/96] bag loss: 1.0757
 Testing bag [76/96] bag loss: 1.3366
 Testing bag [77/96] bag loss: 1.0796
 Testing bag [78/96] bag loss: 1.7110
 Testing bag [79/96] bag loss: 1.5456
 Testing bag [80/96] bag loss: 1.0275
 Testing bag [81/96] bag loss: 1.7816
 Testing bag [82/96] bag loss: 1.2010
 Testing bag [83/96] bag loss: 1.3321
 Testing bag [84/96] bag loss: 0.8765
 Testing bag [85/96] bag loss: 1.2435
 Testing bag [86/96] bag loss: 3.1419
 Testing bag [87/96] bag loss: 3.4522
 Testing bag [88/96] bag loss: 1.4885
 Testing bag [89/96] bag loss: 1.0718
 Testing bag [90/96] bag loss: 1.9975
 Testing bag [91/96] bag loss: 1.3322
 Testing bag [92/96] bag loss: 1.7026
 Testing bag [93/96] bag loss: 1.8264
 Testing bag [94/96] bag loss: 0.8499
 Testing bag [95/96] bag loss: 4.5124
 Testing bag [96/96] bag loss: 1.3770
ROC Curve saved at : /data3/shcho/bci_ai/test/resnet50_finetune2/roc_curve_valid_0.png


 Epoch [4/50] train loss: 4.7138 test loss: 1.5772, average Acc: 0.5521, 
	AUC: [class 0] 0.5385	[class 1] 0.6093	[class 2] 0.9741	[class 3] 0.5230

 Training bag [1/381] bag loss: 4.7121
 Training bag [11/381] bag loss: 4.7073
 Training bag [21/381] bag loss: 4.7042
 Training bag [31/381] bag loss: 4.7253
 Training bag [41/381] bag loss: 4.7052
 Training bag [51/381] bag loss: 4.6990
 Training bag [61/381] bag loss: 4.8600
 Training bag [71/381] bag loss: 4.7109
 Training bag [81/381] bag loss: 4.7083
 Training bag [91/381] bag loss: 4.7252
 Training bag [101/381] bag loss: 4.7040
 Training bag [111/381] bag loss: 4.7053
 Training bag [121/381] bag loss: 4.7101
 Training bag [131/381] bag loss: 4.7200
 Training bag [141/381] bag loss: 4.7073
 Training bag [151/381] bag loss: 4.7190
 Training bag [161/381] bag loss: 4.7124
 Training bag [171/381] bag loss: 4.7159
 Training bag [181/381] bag loss: 4.7087
 Training bag [191/381] bag loss: 4.6989
 Training bag [201/381] bag loss: 4.7074
 Training bag [211/381] bag loss: 4.7154
 Training bag [221/381] bag loss: 4.7255
 Training bag [231/381] bag loss: 4.7077
 Training bag [241/381] bag loss: 4.7037
 Training bag [251/381] bag loss: 4.7335
 Training bag [261/381] bag loss: 4.7155
 Training bag [271/381] bag loss: 4.7290
 Training bag [281/381] bag loss: 4.7013
 Training bag [291/381] bag loss: 4.7024
